key,en,es,fr,ar
RunLiftingGroup_description,"<li><b>{0}</b>: Start the screens for the announcer, the marshal, the timekeeper. The announcer controls which session is shown on the displays.</li>","<li><b>{0}</b>: Iniciar la pantalla para el Anunciador, el Marshal, el Cronometrista. El Anunciador controla qué tanda se muestra en las pantallas.</li>","<li><b>{0}</b>: Lancer les écrans pour les officiels (annonceur, chrono, préposé aux changements). L''annonceur choisit le plateau en cours.</li>","<li><b>{0}</b>: تشغيل شاشات المعلق، مراقب الأوزان، ضابط الوقت. المعلق يتحكم في أي جلسة تُعرض على الشاشات.</li>"
StartDisplays_description,"<li><b>{0}</b>: Used to start the attempt board, the athlete-facing board, and the scoreboard.</li>","<li><b>{0}</b>: Usa para iniciar el tablero de intentos, الشاشة التي تنظر إلى الرياضي، و لوحة النتائج.</li>","<li><b>{0}</b>: Lancer les tableaux de résultats, l''affichage de l''essai courant, et l''affichage pour l''athlète.</li>","<li><b>{0}</b>: يُستخدم لتشغيل لوحة المحاولات، الشاشة المواجهة للرياضي، ولوحة النتائج.</li>"
TranslationDocumentation,<li>Contribute by translating the application to your own language: see the <a href='https://owlcms.github.io/owlcms4/#/Translation'>translation documentation</a>.,<li> Contribuya traduciendo la aplicación a su propio idioma: consulte la <a href='https://owlcms.github.io/owlcms4/#/Translation'> documentación de traducción </a>.,<li>Traduire l'application dans votre propre langue: voir la  <a href='https://owlcms.github.io/owlcms4/#/Translation'>documentation de traduction</a>.,<li>ساهم بترجمة التطبيق إلى لغتك: راجع <a href='https://owlcms.github.io/owlcms4/#/Translation'>وثائق الترجمة</a>.
Documentation,<li>See also the <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> for\u0020installation and configuration information.,<li> Consulte también la <a href='https://owlcms.github.io/owlcms4/#/index'> documentación </a> para obtener información sobre la instalación y la configuración.,<li>Voir aussi la <a href='https://owlcms.github.io/owlcms4/#/index'>documentation</a> pour\u0020instructions d'installation et de configuration,<li>راجع أيضاً <a href='https://owlcms.github.io/owlcms4/#/index'>الوثائق</a> لمعلومات التثبيت والتكوين.
ProjectRepository,<li>See the <a href='https://github.com/jflamy/owlcms4'>project repository</a> the full source.,<li> Ver el <a href='https://github.com/jflamy/owlcms4'> repositorio de proyectos </a> para la fuente completa.,<li>Voir le <a href='https://github.com/jflamy/owlcms4'>référentiel du projet</a> pour le code source.,<li>راجع <a href='https://github.com/jflamy/owlcms4'>مستودع المشروع</a> للمصدر الكامل.
catAboveFormat,>{0},>{0},>{0},>{0}
LimitForCategory,≤ max kg,≤ max kg,≤ max kg,≤ أقصى كجم
About,About,Acerca de,À propos,حول
Config.AccessControlTitle,Access Control,Control de Acceso,Contrôles d'accès,التحكم في الوصول
Active,Active,Activo,Actif,نشط
Active,Active,Activo,Actif,نشط
ActiveCategoriesOnly,Active Categories Only,Solo Categorias Activas,Catégories actives seulement,الفئات النشطة فقط
Add,Add,Añadir,Ajouter,إضافة
Add_title,Add {0},Añadir {0},Créer {0},إضافة {0}
AddNewCategory,Add Category,Agregar Categoria,Ajouter catégorie,إضافة فئة
darkModeSelect,"After opening, click on the board to select white on black or black on white.","Despues de abrir, haga clic en blanco sobre negro o negro sobre blanco.","Après l'ouverture, cliquer sur l'écran pour choisir blanc sur noir ou noir sur blanc.","بعد الفتح، انقر على اللوحة لاختيار أبيض على أسود أو أسود على أبيض."
Scoreboard.AgeGroup,Age Gr.,Grupos por Edades,Gr. Age.,مج. عمر.
Results.AgeGroup,Age Gr.,Grupos por Edades,Gr. Age.,مج. عمر.
AgeGroup,Age Group,Grupos por Edades,Groupe d'âge,المجموعة العمرية
Card.ageGroup,Age Group,Grupos por Edades,Groupe d'âge,المجموعة العمرية
Preparation_AgeGroups,Age Groups,Grupos de Edad,Groupes d'âge,المجموعات العمرية
AgeFormat,Age must be a number between 0 and 999 inclusively.,La edad debe ser un número entre 0 y 999 inclusive.,L'âge doit être entre 0 et 999 inclusivement.,يجب أن يكون العمر رقماً بين 0 و 999 شاملاً.
Competition.roundRobinOrderExplanation,"All lifters perform their first lift according to requested weight, then same for 2nd attempt, then 3rd.","Todos los levantadores realizan su primer intento de acuerdo al peso solicitado, lo mismo para el 2º y 3º intentos","Tous les athlètes font leur 1er essai dans l'ordre de poids demandé, pareillement pour le 2e, puis le 3e.","جميع الرافعين يؤدون رفعتهم الأولى حسب الوزن المطلوب، ثم نفس الشيء للمحاولة الثانية، ثم الثالثة."
Scoreboard.TimeAllowed,Allowed,Permitido,Alloué,مسموح
Results.TimeAllowed,Allowed,Permitido,Alloué,مسموح
Announcer,Announcer,Anunciador,Annonceur,المعلق
Apply,Apply,Aplicar,Appliquer,تطبيق
AthleteCard,Athlete Card,Tarjeta del Atleta,Carton d'athlète,بطاقة الرياضي
AthleteCards,Athlete Cards,Tarjetas de Atleta,Cartons d'athlète,بطاقات الرياضيين
Athlete_Attempt,Athlete-facing Attempt Board Display,Pantalla de Intento frente al Atleta,Essai courant (face à l'athlète),شاشة المحاولة المواجهة للرياضي
Athlete_Decisions,Athlete-facing Timer/Down/Decisions,Cuenta regresiva/Orden de Bajada/Decisiones,Chrono/Terre/Décisions (face à l'athlète),مؤقت/إنزال/قرارات (مواجه للرياضي)
Refereeing_Displays,Athlete-facing Timer/Down/Decisions,Cuenta regresiva/Tierra/Decisiones,Chrono/Terre/Décisions (face à l'athlète),مؤقت/إنزال/قرارات (مواجه للرياضي)
Attempt,Attempt,Intento,Essai,محاولة
AttemptAF,Attempt (AF),Intento (AF),Essai courant (face à l'athlète),محاولة (مواجه للرياضي)
AttemptBoard,Attempt Board,Tablero de Intentos,Essai courant,لوحة المحاولات
DisplayType.Title,Attempt Board Information,Información Tablero de Intentos,Information sur l'écran d'essai courant,معلومات لوحة المحاولات
DisplayType.LIFT_INFO,Attempt Info,Información Intento,Information sur l'essai,معلومات المحاولة
Speakers,Audio Output,Salida de Audio,Sortie audio,مخرج الصوت
AutomaticProgression,Automatic Progression,Progresión Automática,Progression automatique,التقدم التلقائي
Card.automaticProgression,Automatic Progression,Progresión Automática,Progression automatique,التقدم التلقائي
ResetCategories.AvailableDefinitions,Available Definitions,Definiciones Disponibles,Définitions disponibles,التعريفات المتاحة
AvailableTemplates,Available Templates,Plantillas Disponibles,Formats disponibles,القوالب المتاحة
Scoreboard.BodyWeight,B.W.,P. C.,Poids,و.ج.
Results.BodyWeight,B.W.,P. C.,Poids,و.ج.
Config.Backdoor,Backdoor Access IP List (use with care),Lista de IP de acceso de puerta trasera (úselo con cuidado),Adresses IP à accès direct (prudence!),قائمة عناوين IP للوصول الخلفي (استخدم بحذر)
Bar,Bar,Barra,Barre,البار
BarWeight,Bar Weight,Peso de la Barra,Poids de la barre,وزن البار
BreakType.FIRST_CJ,Time before Clean & Jerk,Antes del Envión,Décompte avant l'épaulé-jeté,الوقت قبل النطر والدفع
BreakType.BEFORE_INTRODUCTION,Time before Introduction,Antes de la Presentación,Décompte avant la présentation,الوقت قبل التقديم
BreakType.FIRST_SNATCH,Time before Snatch,Antes del Arranque,Décompte avant l'arraché,الوقت قبل الخطف
Results.Best,Best,Mejor,Meilleur,الأفضل
BirthDate,Birth Date,Fecha de Nacimiento,Date naissance,تاريخ الميلاد
Card.birthDate,Birth Date,Fecha de Nacimiento,Naissance,تاريخ الميلاد
BirthDate_yyyy,Birth Date (yyyy-mm-dd),Fecha de nacimiento (yyyy-mm-dd),Date naissance (yyyy-mm-dd),تاريخ الميلاد (سنة-شهر-يوم)
BirthDate_cannot_future,Birth date cannot be in the future,Fecha de Nacimiento no puede ser en futuro,La date de naissance ne peut pas être dans le futur.,لا يمكن أن يكون تاريخ الميلاد في المستقبل
Registration.birth,Birth Date or Birth Year,Fecha o Año de Nacimiento,Date ou année de naissance,تاريخ الميلاد أو سنة الميلاد
light,Black on white,Negro y Blanco,Noir sur blanc,أسود على أبيض
BodyWeight,Body Weight,Peso Corporal,Poids,وزن الجسم
Card.bodyWeight,Body Weight,Peso Corporal,Poids Corporel,وزن الجسم
BodyWeightCategories,Bodyweight Categories,Divisiones de Peso Corporal,Catégories de poids,فئات وزن الجسم
Scoreboard.Birth,Born,Año,Naiss.,مولود
Results.Birth,Born,Año,Naiss.,مولود
BreakButton.Caption,Break Timer,Reloj de Descanso,Chronomètre de pause,مؤقت الاستراحة
BumperPlates,Bumper Plates,Pesas Grandes,Disques,الأقراص المطاطية
Division.U,By Age Group,Grupo de Edad,Par groupes d'âge,حسب المجموعة العمرية
Clean_and_Jerk_short,C&J,Env.,É.-J.,ن.د.
C_and_J_number,C&J #{0},Env. #{0},É.-J. #{0},ن.د. #{0}
C_and_J_1,C&J 1,Env. 1,É.-J. 1,ن.د. 1
C_and_J_2,C&J 2,Env. 2,É.-J. 2,ن.د. 2
C_and_J_3,C&J 3,Env. 3,É.-J. 3,ن.د. 3
C_and_J_decl,C&J Decl.,Env. Decl.,Décl. É.-J.
C_and_J_decl,C&J Decl.,Env. Decl.,Décl. É.-J.
Results.CJ_abbrev,C&J,Env.,E.-J.
CantReadCell,Can't read cell,No se puede leer la celda,Cellule impossible à interpréter
Cancel,Cancel,Cancelar,Annuler,إلغاء
Unexpected_event_state,Cannot {0} when {1}.,No se puede {0} cuando {1}.,Ne pas {0} quand {1}
Scoreboard.Category,Cat.,Cat.,Cat.
Results.Category,Cat.,Cat.,Cat.
Preparation_Categories,Categories,Categorias,Catégories,الفئات
ResetCategories.CategoriesReset,Categories have been recomputed.,Las Categorias han sido Recalculadas,Les catégories ont été recalculées.,تم إعادة حساب الفئات
Card.category,Category,Categoria,Catégorie,فئة
Category,Category,Categoria,Catégorie,فئة
Upload.CategoryNotFoundByName,"Category  ""{0}"" is not defined.","Categoria ""{0}"" no esta definida.","La catégorie ""{0}"" n'est pas définie."
Upload.CategoryNotFound,"Category cannot be found using age={0}, gender={1}, weight={2}","La Categoría no se puede encontrar utilizando edad={0}, género={1}, peso={2}","Categorie introuvable avec age={0}, genre={1}, poids={2}"
Category_no_match_body_weight,Category does not match body weight.,La categoría no coincide con el peso corporal.,La catégorie ne correspond pas au poids corporel.
Category_no_match_gender,Category does not match gender.,La categoría no coincide con el género.,La catégorie ne correspond pas au genre.
Category_no_match_age,Category does not match the age of the athlete.,La categoría no coincide con la edad del Atleta.,La catégorie ne correspond pas à l'âge de l'athlète.
Cell,Cell,Celda,Cellule,خلية
Card.change1,Change 1,Cambio 1,Changement 1,تغيير 1
Change_1,Change 1,Cambio 1,Changement 1,تغيير 1
Card.change2,Change 2,Cambio 2,Changement 2,تغيير 2
Change_2,Change 2,Cambio 2,Changement 2,تغيير 2
EVENT_BarbellOrPlatesChanged,change barbell or plates,Cambiar Barra o Discos,changer le disque ou l'haltère,تغيير البار أو الأقراص
EVENT_WeightChanged,change requested weight,Cambiar el Peso Solicitado,changer le poids demandé,تغيير الوزن المطلوب
Competition.competitionCity,City,Ciudad,Ville,المدينة
Card.cleanJerk,Clean&amp;Jerk,Envión,Épaulé-jeté,النطر والدفع
Scoreboard.Clean_and_Jerk,Clean&amp;Jerk,Envión,Épaulé-jeté,النطر والدفع
Clean_and_Jerk,Clean&Jerk,Envión,Épaulé-jeté,النطر والدفع
Results.cleanJerk,Clean&Jerk,Envión,Épaulé-jeté,النطر والدفع
Results.Clean_and_Jerk,Clean&Jerk,Envión,Épaulé-jeté,النطر والدفع
Clean_and_Jerk_Declaration,Clean&Jerk Declaration,Declaración del Envión,Déclaration É.-J.,إعلان النطر والدفع
Clean_and_Jerk_Rank,Clean&Jerk Rank,Ubic. del Envión,Rang É.-J.,ترتيب النطر والدفع
ClearLifts,Clear Lifts,Borrar levantamientos,Effacer les levers,مسح الرفعات
ClearLifts_forListed,Clear Lifts for Athletes Currently Listed,Borrar resultados para atletas listados حاليا ,Effacer les levers des athlètes sélectionnés,مسح الرفعات للرياضيين المدرجين حالياً
ClearStartNumbers,Clear Start Numbers,Borrar números de Inicio,Vider Nº départ,مسح أرقام البداية
reloadTranslationInfo,"Click to reload the translation file, then refresh your pages (F5).","Haga clic para volver a cargar el archivo, luego actualize sus paginas (F5).","Cliquer pour recharger le fichier de traduction, puis raffraîchir les pages.","انقر لإعادة تحميل ملف الترجمة، ثم قم بتحديث صفحاتك (F5)."
STATE_TIME_STOPPED,clock has been stopped,El reloj a sido Detenido,le chrono est arrêté,تم إيقاف الساعة
STATE_CURRENT_ATHLETE_DISPLAYED,clock has not started,El reloj no ha Comenzado,le chrono n'est pas démarré,لم تبدأ الساعة
STATE_TIME_RUNNING,clock is running,El reloj corre,le chrono est démarré,الساعة تعمل
CodeMustBeShort,Code should have less than {0} characters,El Código debe tener menos de {0} Caracteres,Le code devrait avoir moins de {0} caractères.,يجب أن يكون الرمز أقل من {0} أحرف
Collar,Collar,Collarín,Bagues,الطوق
Competition,Competition,Competencia,Compétition,البطولة
CompetitionBook.C,Competition,Competencia,Compétition,البطولة
Preparation_Competition,Competition,Competencia,Compétition,البطولة
Competition.informationTitle,Competition,Competencia,Compétition,البطولة
Competition.resultTemplateFileName,Competition Book Template,Plantilla de Libro de Competencia,Gabarit pour cahier de compétition,قالب كتاب البطولة
PublicMsg.CompetitionPaused,Competition paused,Competencia Pausada,Pause,البطولة متوقفة
CompetitionPlatform,Competition Platform,Plataforma de Competencia,Plateforme,منصة البطولة
AgeDivision,Competition type,Tipo de Competencia,Type de compétition,نوع البطولة
Confirm,Confirm,Confirmar,Confirmer,تأكيد
Results.Controller,Controller,Controlador,Contrôleur,المتحكم
CopyrightLicense,Copyright and License,Copyright y Licencia,Licence et droits d'auteur,حقوق النشر والترخيص
DisplayType.COUNTDOWN_INFO,Countdown clock,Reloj de Cuenta Regresiva,Horloge de décompte,ساعة العد التنازلي
introCountdown,Countdown,Cuenta Regresiva para la Presentación,Décompte,العد التنازلي
BreakButton.ToStartCaption,Countdown to start / Break Timer,Cuenta Atrás para Comenzar/ Descanso,Décompte avant début / Chrono de pause,العد التنازلي للبداية / مؤقت الاستراحة
CountdownType,Countdown Type,Tipo de Cuenta Regresiva,Type de décompte,نوع العد التنازلي
Credits,Credits,Créditos,Remerciements,الاعتمادات
CurrentAthleteTitle,Current Athlete,Atleta actual,Athlète courant,الرياضي الحالي
ScoreboardWLeadersMouseOver,"Current Session Scoreboard plus Top 3 lifters for Category, all around.",Marcador de Tanda actual + los 3 mejores levantadores por división. Total.,Tableau de résultats du plateau courant et Top 3 de la catégorie.,"لوحة النتائج للجلسة الحالية بالإضافة إلى أفضل 3 رافعين للفئة، شاملة."
Competition.competitionDate,Date,Fecha,Date,التاريخ
Decision_AF_,Decision (Athlete-Facing),Decisión (Frente al Atleta),Decision (face à l'athlète),القرار (مواجه للرياضي)
STATE_DECISION_VISIBLE,decision is being shown,Se muestra la decisión,la décision est visible,يتم عرض القرار
Results.Declaration_abbrev,decl.,Decl.,décl.,إعلان
Card.declaration,Declaration,Declaración,Déclaration,الإعلان
Declaration,Declaration,Declaración,Déclaration,الإعلان
Declaration_current_athlete_with_change,Declaration (with weight change) for current athlete<br>{0},Declaración (con cambio de peso) para Atleta actual<br>{0},Déclaration (avec changement de poids) pour l''athlète courant<br>{0},إعلان (مع تغيير الوزن) للرياضي الحالي<br>{0}
Declaration_Notification,Declaration for {0}: {1},Declaración para {0}: {1},Déclaration pour {0}: {1},إعلان لـ {0}: {1}
Declaration_current_athlete,Declaration for current athlete<br>{0},Declaración para el Atleta الحالي<br>{0},Déclaration pour l''athlète courant<br>{0},إعلان للرياضي الحالي<br>{0}
Division.DEFAULT,Open,POR DEFECTO,Open,مفتوح
DefineAgeGroups,Define Age Groups and Categories,Definir Grupos de Edades y Divisiones P.C.,Définir les groupes d'âge et les catégories,تحديد المجموعات العمرية والفئات
DefineCategories,Define Categories,Definir Divisiones,Définir les catégories,تحديد الفئات
DefineFOP,Define Fields of Play and Sound Output,Definir Plataformas و salida de sonido,Définir les plateformes et les sorties sonores,تحديد منصات اللعب ومخرج الصوت
Delete,Delete,Eliminar,Détruire,حذف
Delete_title,Delete {0},Eliminar {0},Effacer {0},حذف {0}
DeleteAthletes,Delete Athletes,Borrar atletas,Détruire athlètes,حذف الرياضيين
DeleteAthletes_forListed,Delete Athletes Currently Listed,Eliminar atletas de la lista actual,Détruire athlètes actuellement listés,حذف الرياضيين المدرجين حالياً
Results.DetailsPerAthlete,Details per Athlete,Detalles por atleta,Détails par athlète,تفاصيل لكل رياضي
Display,Display,Pantalla,Afficher,عرض
Competition.presentationTitle,Display and Printout,Pantalla e impresión,Affichage et impression,العرض والطباعة
Competition.defaultLocale,Display and printout language,Mostrar e Imprimir Idioma,Langue d'affichage et d'impression,لغة العرض والطباعة
AgeGroupCode,Display Short Code,Mostrar código corto,Code d'affichage bref,عرض الرمز المختصر
Card.ageDivision,Division,Categoría de edad,Division,القسم
Documentation_Menu,Documentation,Documento,Documentation,الوثائق
Done,done,Terminada,terminé,تم
Done_period,Done.,Realizado,Terminé,تم.
STATE_DOWN_SIGNAL_VISIBLE,down signal is being shown,Se muestra la señal de bajada,le signal terre a été donné,يتم عرض إشارة الإنزال
DownloadRegistrationTemplate,Download Empty Registration Spreadsheet,Descargar hoja de cálculo vacía,Obtenir une feuille d'inscription vide,تحميل جدول بيانات التسجيل الفارغ
DrawLotNumbers,Draw Lot Numbers,Sorteo,Tirage au sort,سحب أرقام القرعة
CountdownType.DURATION,Duration,Duración,Durée,المدة
InvalidDurationFormat,Duration must be in format {0} -- Type {1} to get {2} minutes and {3} seconds.,La duración debe estar en formato {0} -- Tipo {1} llegar {2} minutos y {3} segundos.,La durée doit être dans le format {0} -- Écrire {1} pour dire «{2} minutes et {3} secondes».,يجب أن تكون المدة بالتنسيق {0} -- اكتب {1} للحصول على {2} دقيقة و{3} ثانية.
STATE_BREAK,during a break,Durante un descanso,qu'une pause est en cours,أثناء الاستراحة
EditAgeGroups,Edit Age Groups and Categories,Editar Grupos de Edad y Divisiones,Éditer les groupes d'âge et les catégories,تحرير المجموعات العمرية والفئات
EditAthletes,Edit Athlete Entries,Editar Datos de Entrada del Atleta,Éditer les athlètes,تحرير بيانات الرياضيين
EditAthletes_Groups,Edit Athlete Entries (adjust session assignments),Editar Datos de Entrada del Atleta (Ajustar la Asignación de Tanda),Éditer les athlètes (ajuster l'assignation des groupes),تحرير بيانات الرياضيين (تعديل تخصيص الجلسات)
EditCategories,Edit Categories,Editar Divisiones,Éditer les catégories,تحرير الفئات
Edit_Groups,Edit Sessions,Editar Tandas,Éditer les plateaux,تحرير الجلسات
EditPlatforms,Edit Platforms,Editar Plataforma,Éditer les plateformes,تحرير المنصات
EditRegisteredAthletes,Edit Registered Athletes,Editar Atletas Registrados,Éditer les athlètes inscrits,تحرير الرياضيين المسجلين
Eligible,Eligible,Elegible,Éligible,مؤهل
Eligible for Individual Ranking?,Eligible for individual ranking?,Elegible para ranking individual?,Éligible au classement individuel ?,مؤهل للترتيب الفردي؟
Competition.customScore,Enable custom score? ,¿Habilitar puntuación personalizada? (anular total con bonificación / penalizaciones),Permettre édition du score?,تفعيل النتيجة المخصصة؟
EndBreak_StartLifting,"End Break, Start Lifting","Fin del Descanso, Inicio del Levantamiento","Fin de la pause, débuter les levers","انتهاء الاستراحة، بدء الرفع"
EnterPin,Enter PIN,Ingrese su Pin,Inscrire le code d'accès,أدخل الرقم السري
Results.Entry_abbrev,Entry,Total declarado,Tot.Entrée,الدخول
Card.entryTotal,Entry Total,Total de Entrada,Total décl.,مجموع الدخول
EntryTotal,Entry Total,Total de Entrada,Total déclaré,مجموع الدخول
Error,Error,Error,Erreur,خطأ
Errors,Errors,Errores,Erreurs,أخطاء
Competition.federationTitle,Federation,Federación,Fédération,الاتحاد
Competition.federationAddress,Federation Address,Dirección postal de la Federación,Adresse de la fédération,عنوان الاتحاد
Competition.federationEMail,Federation e-mail,E-mail de la Federación,Courriel de la fédération,البريد الإلكتروني للاتحاد
Competition.federation,Federation Name,Nombre de la Federación,Nom de la fédération,اسم الاتحاد
Competition.federationWebSite,Federation Web Site,Sitio Web de la Federación,Site web de la fédération,موقع الاتحاد الإلكتروني
FieldOfPlayDisplays,Field of Play Displays,Campo para Anuncios,Affichages sur les plateaux,شاشات العرض
FinalResultsPackage,Final Results Package,Paquete de Resultados Finales,Compilation des résultats,حزمة النتائج النهائية
FirstName,First Name,Nombre,Prénom,الاسم الأول
Competition.genderOrderExplanation,"For competitions with mixed sessions, in order to reduce the number of breaks and bar changes, call all girls first as a subsession.","Para competencias con tandas mixtas, para reducir el número de descansos y cambios de barra, llame a todas las damas primero como un subgrupo.","Dans une compétition avec groupes mixtes, afin de réduire le nombre de pauses et de changements d'haltère, appeler toutes les filles en premier en tant que sous-groupe.","للمسابقات ذات الجلسات المختلطة، من أجل تقليل عدد الاستراحات وتغييرات البار، استدعي جميع الفتيات أولاً كجلسة فرعية."
ForEachCompetitionGroup,For each competition session,Para cada Tanda de Competencia,Pour chaque plateau,لكل جلسة مسابقة
Competition.customScoreExplanation,"For kids or special competitions, allow modification of total with bonuses or penalties.","Para niños o competencias especiales, permita la modificación del total con bonificaciones o penalizaciones.","Pour les compétitions jeunesse ou spéciales, permettre la modification du total par des bonus ou des pénalités.","للأطفال أو المسابقات الخاصة، السماح بتعديل المجموع بالمكافآت أو الجزاءات."
ForcedAsCurrent,Forced as Current Athlete,Forzar como el atleta الحالي,Forcé comme athlète courant,مجبر كرياضي حالي
Gender,Gender,Género,Genre,الجنس
Upload.GenderMismatch,"Gender for category ""{0}"" does not match athlete gender {1}.","Sexo por catergoría ""{0}"" no coincide con el sexo del atleta {1}.","Le genre pour la catégorie ""{0}"" ne correspond pas à celui de l'athlète ""{1}"".",الجنس للفئة "{0}" لا يطابق جنس الرياضي {1}.
GenerateStartNumbers,Generate Start Numbers,Genere Números de Inicio,Générer les Nº de départ,توليد أرقام البداية
EVENT_ExplicitDecision,give decision,Dar Decision,annoncer la décision,اتخاذ القرار
EVENT_DownSignal,give down signal,dar señal de bajada,donner le signal terre,إعطاء إشارة الإنزال
GotIt,Got it.,Entendido.,Compris.,فهمت.
Card.group,Session,Tanda,Plateau,الجلسة
Group,Session,Tanda,Plateau,الجلسة
Upload.GroupNotDefined,"Session ""{0}"" is not defined.","Tanda ""{0}"" no esta definida.","Le plateau ""{0}"" n'est pas défini.",الجلسة "{0}" غير محددة.
CannotEditResults_logging,"Session {} currently lifting on platform {}, cannot edit","Tanda {} levantando actualmente en la plataforma {}, no se puede editar","Plateau {} lève sur plateforme {}, impossible d'éditer","الجلسة {} ترفع حالياً على المنصة {}، لا يمكن التحرير"
