key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia		
Books.Marshalls	MARSHALLS			MARISCALES		MARISCALES	MARISCALES	MARISCALES	MARSHALS			MARSHALS	МАРШАЛЫ	MARSHALLS	MARSHALLS	MARSHALS	MARSHALLIT	MARSHALLS	MARSHALLAR	MARSHALLOK	MARSHALLI	MARSHALLE	ՄԱՐՇԱԼՆԵՐ	מרשלים	المارشالات	MARSHALS	マーシャル	司儀	MARSHALLID			
Books.MenAndWomenMedals	Combined Men and Women Medals			Medallas combinadas masculinas y femeninas		Medallas combinadas masculinas y femeninas	Medallas combinadas masculinas y femeninas	Medallas combinadas masculinas y femeninas	Médailles combinées hommes et femmes			Medalhas combinadas masculinas e femininas	Объединённые медали мужчин и женщин	Kombinierte Männer- und Frauenmedaillen	Kombinerade herr- och dammedaljer	Kombinerede herre- og damemedaljer	Yhdistetyt miesten ja naisten mitalit	Kombinerte herre- og damemedaljer	Samansett mans- og kvinnuheiðursmerki	Összesített férfi és női érmek	Medalii combinate masculine și feminine	Połączone medale mężczyzn i kobiet	Տղամարդկանց և կանանց համակցված մեդալներ	מדליות גברים ונשים משולבות	ميداليات الرجال والنساء المجمعة	Συνδυασμένα μετάλλια ανδρών και γυναικών	男女合計メダル	男子及女子合併獎牌	Meeste ja naiste koondmedalid			
Books.MenMedals	Men Medals			Medallas masculinas		Medallas masculinas	Medallas masculinas	Medallas masculinas	Médailles hommes			Medalhas masculinas	Медали мужчин	Männermedaillen	Herrmedaljer	Herremedaljer	Miesten mitalit	Herremedaljer	Mansheiðursmerki	Férfi érmek	Medalii masculine	Medale mężczyzn	Տղամարդկանց մեդալներ	מדליות גברים	ميداليات الرجال	Μετάλλια ανδρών	男子メダル	男子獎牌	Meeste medalid			
Books.Mixed	Mixed			Mixto		Mixto	Mixto	Mixto	Mixte			Misto	Смешанный	Gemischt	Mixad	Blandet	Sekajoukkue	Blandet	Blandað	Vegyes	Mixt	Mieszane	Խառը	מעורב	مختلط	Μικτό	混合	混合	Segatud			
Books.Nation	Nation			Nación		Nación	Nación	Nación	Nation			Nação	Страна	Nation	Nation	Nation	Kansakunta	Nasjon	Tjóð	Nemzet	Națiune	Kraj	Երկիր	מדינה	الدولة	Έθνος	国	國家	Riik			
Books.NewRecords	New Records			Nuevos récords		Nuevos récords	Nuevos récords	Nuevos récords	Nouveaux records			Novos recordes	Новые рекорды	Neue Rekorde	Nya rekord	Nye rekorder	Uudet ennätykset	Nye rekorder	Nýggj met	Új rekordok	Recorduri noi	Nowe rekordy	Նոր ռեկորդներ	שיאים חדשים	الأرقام القياسية الجديدة	Νέα ρεκόρ	新記録	新紀錄	Uued rekordid			
Books.NoAthletesFound	No athletes found			No se encontraron atletas		No se encontraron atletas	No se encontraron atletas	No se encontraron atletas	Aucun athlète trouvé			Nenhum atleta encontrado	Спортсмены не найдены	Keine Athleten gefunden	Inga aktiva hittades	Ingen atleter fundet	Urheilijoita ei löytynyt	Ingen utøvere funnet	Ongir íðkarar funnir	Nem található sportoló	Nu au fost găsiți sportivi	Nie znaleziono zawodników	Մարզիկներ չեն գտնվել	לא נמצאו ספורטאים	لم يتم العثور على رياضيين	Δεν βρέθηκαν αθλητές	選手が見つかりません	找不到運動員	Sportlasi ei leitud			
Books.NoNewRecordsToDisplay	No new records to display.			No hay nuevos récords para mostrar.		No hay nuevos récords para mostrar.	No hay nuevos récords para mostrar.	No hay nuevos récords para mostrar.	Aucun nouveau record à afficher.			Nenhum novo recorde para exibir.	Новых рекордов для отображения нет.	Keine neuen Rekorde anzuzeigen.	Inga nya rekord att visa.	Ingen nye rekorder at vise.	Ei uusia ennätyksiä näytettäväksi.	Ingen nye rekorder å vise.	Eingi nýggj met at vísa.	Nincs megjeleníthető új rekord.	Nu există recorduri noi de afișat.	Brak nowych rekordów do wyświetlenia.	Ցուցադրելու նոր ռեկորդներ չկան։	אין שיאים חדשים להצגה.	لا توجد أرقام قياسية جديدة للعرض.	Δεν υπάρχουν νέα ρεκόρ για εμφάνιση.	表示する新記録はありません。	沒有可顯示的新紀錄。	Uusi rekordeid pole kuvada.			
Books.NoRecordsToDisplay	No records to display.			No hay récords para mostrar.		No hay récords para mostrar.	No hay récords para mostrar.	No hay récords para mostrar.	Aucun record à afficher.			Nenhum recorde para exibir.	Нет рекордов для отображения.	Keine Rekorde anzuzeigen.	Inga rekord att visa.	Ingen rekorder at vise.	Ei ennätyksiä näytettäväksi.	Ingen rekorder å vise.	Eingi met at vísa.	Nincs megjeleníthető rekord.	Nu există recorduri de afișat.	Brak rekordów do wyświetlenia.	Ցուցադրելու ռեկորդներ չկան։	אין שיאים להצגה.	لا توجد أرقام قياسية للعرض.	Δεν υπάρχουν ρεκόρ για εμφάνιση.	表示する記録はありません。	沒有可顯示的紀錄。	Rekordeid pole kuvada.			
Books.NoRecordsWereBroken	No records were broken.			No se batieron récords.		No se batieron récords.	No se batieron récords.	No se batieron récords.	Aucun record n'a été battu.			Nenhum recorde foi quebrado.	Рекорды не были побиты.	Es wurden keine Rekorde gebrochen.	Inga rekord slogs.	Ingen rekorder blev slået.	Ennätyksiä ei rikottu.	Ingen rekorder ble slått.	Eingi met vórðu sligin.	Nem dőlt meg rekord.	Nu au fost doborâte recorduri.	Nie pobito żadnych rekordów.	Ոչ մի ռեկորդ չի գերազանցվել։	לא נשברו שיאים.	لم يتم تحطيم أي أرقام قياسية.	Δεν καταρρίφθηκαν ρεκόρ.	記録は更新されませんでした。	未打破任何紀錄。	Ühtegi rekordit ei purustatud.			
Books.NoSessionDataAvailable	No session data available.			No hay datos de sesión disponibles.		No hay datos de sesión disponibles.	No hay datos de sesión disponibles.	No hay datos de sesión disponibles.	Aucune donnée de session disponible.			Nenhum dado de sessão disponível.	Данные сессии недоступны.	Keine Sitzungsdaten verfügbar.	Inga sessionsdata tillgängliga.	Ingen sessionsdata tilgængelig.	Istuntotietoja ei ole saatavilla.	Ingen øktdata tilgjengelig.	Ongar bólkadátur tøkar.	Nincs elérhető csoportadat.	Nu există date de sesiune disponibile.	Brak dostępnych danych sesji.	Սեսիայի տվյալներ չկան։	אין נתוני סשן זמינים.	لا تتوفر بيانات للجلسة.	Δεν υπάρχουν διαθέσιμα δεδομένα συνεδρίας.	セッションデータがありません。	沒有可用的場次資料。	Sessiooni andmed puuduvad.			
Books.NoTeam	No Team			Sin equipo		Sin equipo	Sin equipo	Sin equipo	Aucune équipe			Sem equipe	Без команды	Kein Team	Inget lag	Intet hold	Ei joukkuetta	Ingen lag	Einki lið	Nincs csapat	Fără echipă	Brak drużyny	Թիմ չկա	ללא קבוצה	لا فريق	Χωρίς ομάδα	チームなし	無隊伍	Võistkonda pole			
Books.NoTeamPointsDataAvailable	No team points data available.			No hay datos de puntos por equipo disponibles.		No hay datos de puntos por equipo disponibles.	No hay datos de puntos por equipo disponibles.	No hay datos de puntos por equipo disponibles.	Aucune donnée de points par équipe disponible.			Nenhum dado de pontos por equipe disponível.	Данные командных очков недоступны.	Keine Team-Punktedaten verfügbar.	Inga lagpoängdata tillgängliga.	Ingen holdpointdata tilgængelig.	Joukkuepistetietoja ei ole saatavilla.	Ingen lagpoengdata tilgjengelig.	Ongar liðstigadátur tøkar.	Nincsenek elérhető csapatpontadatok.	Nu există date de puncte pe echipe disponibile.	Brak dostępnych danych punktów drużynowych.	Թիմային միավորների տվյալներ չկան։	אין נתוני נקודות קבוצתיות זמינים.	لا تتوفر بيانات نقاط الفرق.	Δεν υπάρχουν διαθέσιμα δεδομένα βαθμών ομάδων.	チームポイントデータがありません。	沒有可用的團隊積分資料。	Võistkondlike punktide andmed puuduvad.			
Books.NumberAbbreviation	No.			N.º		N.º	N.º	N.º	N°			N.º	№	Nr.	Nr	Nr.	Nro	Nr.	Nr.	Sz.	Nr.	Nr	Հմր	מס'	رقم	Αρ.	番号	編號	Nr			
Books.OfficialMembers	Members:			Miembros:		Miembros:	Miembros:	Miembros:	Membres :			Membros:	Члены:	Mitglieder:	Medlemmar:	Medlemmer:	Jäsenet:	Medlemmer:	Limir:	Tagok:	Membri:	Członkowie:	Անդամներ՝	חברים:	الأعضاء:	Μέλη:	メンバー:	成員：	Liikmed:			
Books.OfficialPresident	President:			Presidente:		Presidente:	Presidente:	Presidente:	Président :			Presidente:	Президент:	Präsident:	Ordförande:	Formand:	Puheenjohtaja:	President:	Forseti:	Elnök:	Președinte:	Przewodniczący:	Նախագահ՝	נשיא:	الرئيس:	Πρόεδρος:	議長:	主席：	President:			
Books.OrganizedBy	Organized by:			Organizado por:		Organizado por:	Organizado por:	Organizado por:	Organisé par :			Organizado por:	Организатор:	Organisiert von:	Arrangeras av:	Arrangeret af:	Järjestäjä:	Arrangert av:	Skipað av:	Szervező:	Organizat de:	Organizator:	Կազմակերպիչ՝	מאורגן על ידי:	من تنظيم:	Διοργάνωση:	主催:	主辦單位：	Korraldaja:			
Books.OverallMedals	Overall Medals			Medallas generales		Medallas generales	Medallas generales	Medallas generales	Médailles générales			Medalhas gerais	Общий зачёт медалей	Gesamtmedaillen	Totala medaljer	Samlede medaljer	Kokonaismitalit	Totale medaljer	Heildarheiðursmerki	Összesített érmek	Medalii totale	Medale ogółem	Ընդհանուր մեդալներ	מדליות כלליות	إجمالي الميداليات	Συνολικά μετάλλια	総合メダル	總獎牌	Üldmedalid			
Books.Page	Page			Página		Página	Página	Página	Page			Página	Страница	Seite	Sida	Side	Sivu	Side	Síða	Oldal	Pagină	Strona	Էջ	עמוד	صفحة	Σελίδα	ページ	頁	Lehekülg			
Books.Participants	Participants			Participantes		Participantes	Participantes	Participantes	Participants			Participantes	Участники	Teilnehmer	Deltagare	Deltagere	Osallistujat	Deltakere	Luttakarar	Résztvevők	Participanți	Uczestnicy	Մասնակիցներ	משתתפים	المشاركون	Συμμετέχοντες	参加者	參賽者	Osalejad			
Books.Points	Points			Puntos		Puntos	Puntos	Puntos	Points			Pontos	Очки	Punkte	Poäng	Point	Pisteet	Poeng	Stig	Pontok	Puncte	Punkty	Միավորներ	נקודות	النقاط	Βαθμοί	ポイント	分數	Punktid			
Books.Referees	REFEREES			ÁRBITROS		ÁRBITROS	ÁRBITROS	ÁRBITROS	ARBITRES			ÁRBITROS	СУДЬИ	KAMPFRICHTER	DOMARE	DOMMERE	TUOMARIT	DOMMERE	DÓMARAR	BÍRÓK	ARBITRI	SĘDZIOWIE	ՄՐՑԱՎԱՐՆԵՐ	שופטים	الحكام	ΚΡΙΤΕΣ	審判員	裁判	KOHTUNIKUD			
Books.ResultsBook	Results Book			Libro de resultados		Libro de resultados	Libro de resultados	Libro de resultados	Livre des résultats			Livro de resultados	Книга результатов	Ergebnisbuch	Resultatbok	Resultatbog	Tuloskirja	Resultatbok	Úrslitabók	Eredménykönyv	Carte de rezultate	Księga wyników	Արդյունքների գիրք	ספר תוצאות	كتاب النتائج	Βιβλίο αποτελεσμάτων	リザルトブック	成績冊	Tulemuste raamat			
Books.RightLogo	Right logo			Logotipo derecho		Logotipo derecho	Logotipo derecho	Logotipo derecho	Logo droit			Logotipo direito	Правый логотип	Rechtes Logo	Höger logotyp	Højre logo	Oikea logo	Høyre logo	Høgra merki	Jobb oldali logó	Sigla din dreapta	Prawe logo	Աջ լոգոն	לוגו ימני	الشعار الأيمن	Δεξί λογότυπο	右ロゴ	右側標誌	Parem logo			
Books.SanctionedBy	Sanctioned by:			Avalado por:		Avalado por:	Avalado por:	Avalado por:	Homologué par :			Sancionado por:	Утверждено:	Genehmigt von:	Sanktionerad av:	Godkendt af:	Hyväksynyt:	Godkjent av:	Góðkent av:	Jóváhagyta:	Sancționat de:	Zatwierdzone przez:	Հաստատող՝	אושר על ידי:	معتمد من:	Εγκεκριμένο από:	公認:	認可單位：	Kinnitanud:			
Books.Score	Score			Puntuación		Puntuación	Puntuación	Puntuación	Score			Pontuação	Оценка	Punktzahl	Poäng	Score	Pisteet	Poengsum	Stig	Pontszám	Scor	Wynik	Միավոր	ניקוד	النتيجة	Σκορ	スコア	成績	Skoor			
Books.SelectedTeamAthletes	Selected Team Athletes			Atletas seleccionados del equipo		Atletas seleccionados del equipo	Atletas seleccionados del equipo	Atletas seleccionados del equipo	Athlètes d'équipe sélectionnés			Atletas selecionados da equipe	Выбранные спортсмены команды	Ausgewählte Teamathleten	Utvalda lagaktiva	Udvalgte holdatleter	Valitut joukkueurheilijat	Utvalgte lagutøvere	Valdir liðsíðkarar	Kiválasztott csapatsportolók	Sportivi de echipă selectați	Wybrani zawodnicy drużyny	Ընտրված թիմային մարզիկներ	ספורטאי קבוצה נבחרים	رياضيو الفريق المختارون	Επιλεγμένοι αθλητές ομάδας	選抜チーム選手	已選隊伍運動員	Valitud võistkonna sportlased			
Books.SessionProtocols	Session Protocols			Protocolos de sesión		Protocolos de sesión	Protocolos de sesión	Protocolos de sesión	Protocoles de session			Protocolos da sessão	Протоколы сессий	Gruppenprotokolle	Sessionsprotokoll	Sessionsprotokoller	Istuntopöytäkirjat	Øktprotokoller	Bólkaprotokollir	Csoportjegyzőkönyvek	Protocoale de sesiune	Protokoły sesji	Սեսիայի արձանագրություններ	פרוטוקולי סשן	بروتوكولات الجلسة	Πρωτόκολλα συνεδριών	セッションプロトコル	場次紀錄	Sessiooni protokollid			
Books.SessionStartLists	Session Start Lists			Listas de salida por sesión		Listas de salida por sesión	Listas de salida por sesión	Listas de salida por sesión	Listes de départ par session			Listas de partida da sessão	Стартовые списки сессий	Startlisten der Gruppen	Startlistor per session	Startlister for sessioner	Istuntojen lähtölistat	Startlister for økter	Byrjunarlistar fyri bólkar	Csoportos rajtlisták	Liste de start pe sesiuni	Listy startowe sesji	Սեսիայի մեկնարկային ցուցակներ	רשימות פתיחה לסשן	قوائم بدء الجلسات	Λίστες εκκίνησης συνεδριών	セッション別スタートリスト	場次出賽名單	Sessiooni stardinimekirjad			
Books.Speaker	Speaker			Locutor		Locutor	Locutor	Locutor	Annonceur			Locutor	Диктор	Sprecher	Speaker	Speaker	Kuuluttaja	Speaker	Frásøgufólk	Bemondó	Crainic	Spiker	Խոսնակ	כרוז	المذيع	Εκφωνητής	アナウンサー	播報員	Teadustaja			
Books.StartBook	Start Book			Libro de salida		Libro de salida	Libro de salida	Libro de salida	Livre de départ			Livro de partida	Стартовая книга	Startbuch	Startbok	Startbog	Lähtökirja	Startbok	Byrjanarbók	Rajtlista könyv	Carte de start	Księga startowa	Մեկնարկային գիրք	ספר פתיחה	كتاب البداية	Βιβλίο εκκίνησης	スタートブック	出賽冊	Stardiraamat			
Books.Statistics	Statistics			Estadísticas		Estadísticas	Estadísticas	Estadísticas	Statistiques			Estatísticas	Статистика	Statistik	Statistik	Statistik	Tilastot	Statistikk	Hagtøl	Statisztika	Statistici	Statystyki	Վիճակագրություն	סטטיסטיקה	الإحصائيات	Στατιστικά	統計	統計	Statistika			
Books.TableOfContents	Table of Contents			Índice		Índice	Índice	Índice	Table des matières			Sumário	Оглавление	Inhaltsverzeichnis	Innehållsförteckning	Indholdsfortegnelse	Sisällysluettelo	Innholdsfortegnelse	Innihaldsyvirlit	Tartalomjegyzék	Cuprins	Spis treści	Բովանդակություն	תוכן עניינים	جدول المحتويات	Πίνακας περιεχομένων	目次	目錄	Sisukord			
Books.TechnicalControllers	TECHNICAL CONTROLLERS			CONTROLADORES TÉCNICOS		CONTROLADORES TÉCNICOS	CONTROLADORES TÉCNICOS	CONTROLADORES TÉCNICOS	CONTRÔLEURS TECHNIQUES			CONTROLADORES TÉCNICOS	ТЕХНИЧЕСКИЕ КОНТРОЛЁРЫ	TECHNISCHE KONTROLLEURE	TEKNISKA KONTROLLANTER	TEKNISKE KONTROLLØRER	TEKNISET VALVOJAT	TEKNISKE KONTROLLØRER	TEKNISKIR EFTIRLITSFÓLK	TECHNIKAI ELLENŐRÖK	CONTROLORI TEHNICI	KONTROLERZY TECHNICZNI	ՏԵԽՆԻԿԱԿԱՆ ՎԵՐԱՀՍԿԻՉՆԵՐ	בקרים טכניים	المراقبون الفنيون	ΤΕΧΝΙΚΟΙ ΕΛΕΓΚΤΕΣ	テクニカルコントローラー	技術管制員	TEHNILISED KONTROLLERID			
Books.TechnicalOfficialsTimetable	Technical Officials Timetable			Horario de oficiales técnicos		Horario de oficiales técnicos	Horario de oficiales técnicos	Horario de oficiales técnicos	Horaire des officiels techniques			Horário dos oficiais técnicos	Расписание технических официальных лиц	Zeitplan der technischen Offiziellen	Tidsschema för tekniska funktionärer	Tidsplan for tekniske officials	Teknisten toimitsijoiden aikataulu	Tidsplan for tekniske funksjonærer	Tíðarætlan fyri teknisk starvsfólk	Technikai tisztségviselők időrendje	Programul oficialilor tehnici	Harmonogram sędziów technicznych	Տեխնիկական պաշտոնյաների ժամանակացույց	לוח זמנים של בעלי תפקידים טכניים	جدول المسؤولين الفنيين	Πρόγραμμα τεχνικών αξιωματούχων	技術役員タイムテーブル	技術人員時間表	Tehniliste ametnike ajakava			
Books.Time	Time			Hora		Hora	Hora	Hora	Heure			Hora	Время	Zeit	Tid	Tid	Aika	Tid	Tíð	Idő	Ora	Czas	Ժամ	שעה	الوقت	Ώρα	時刻	時間	Aeg			
Books.TopAthleteTemplate	Top {0} Athlete			Mejor {0} atleta		Mejor {0} atleta	Mejor {0} atleta	Mejor {0} atleta	Meilleur {0} athlète			Melhor {0} atleta	Лучший {0} спортсмен	Beste/r {0} Athlet/in	Topp {0} aktiv	Bedste {0} atlet	Paras {0} urheilija	Topp {0} utøver	Besti {0} íðkari	Legjobb {0} sportoló	Cel mai bun {0} sportiv	Najlepszy {0} zawodnik	Լավագույն {0} մարզիկ	{0} הספורטאי המוביל	أفضل رياضي {0}	Κορυφαίος {0} αθλητής	上位{0}名の選手	前 {0} 名運動員	Parim {0} sportlane			
Books.TopAthletesTemplate	Top {0} Athletes			Mejores {0} atletas		Mejores {0} atletas	Mejores {0} atletas	Mejores {0} atletas	Meilleurs {0} athlètes			Melhores {0} atletas	Лучшие {0} спортсменов	Beste {0} Athleten	Topp {0} aktiva	Bedste {0} atleter	Parhaat {0} urheilijaa	Topp {0} utøvere	Bestu {0} íðkarar	Legjobb {0} sportoló	Cei mai buni {0} sportivi	Najlepszych {0} zawodników	Լավագույն {0} մարզիկներ	{0} הספורטאים המובילים	أفضل {0} رياضيين	Κορυφαίοι {0} αθλητές	上位{0}名の選手	前 {0} 名運動員	Parimad {0} sportlast			
Books.Unknown	Unknown			Desconocido		Desconocido	Desconocido	Desconocido	Inconnu			Desconhecido	Неизвестно	Unbekannt	Okänd	Ukendt	Tuntematon	Ukjent	Ókent	Ismeretlen	Necunoscut	Nieznany	Անհայտ	לא ידוע	غير معروف	Άγνωστο	不明	未知	Tundmatu			
Books.Value	Value			Valor		Valor	Valor	Valor	Valeur			Valor	Значение	Wert	Värde	Værdi	Arvo	Verdi	Virði	Érték	Valoare	Wartość	Արժեք	ערך	القيمة	Τιμή	値	數值	Väärtus			
Books.WomenMedals	Women Medals			Medallas femeninas		Medallas femeninas	Medallas femeninas	Medallas femeninas	Médailles femmes			Medalhas femininas	Медали женщин	Frauenmedaillen	Dammedaljer	Damemedaljer	Naisten mitalit	Damemedaljer	Kvinnuheiðursmerki	Női érmek	Medalii feminine	Medale kobiet	Կանանց մեդալներ	מדליות נשים	ميداليات النساء	Μετάλλια γυναικών	女子メダル	女子獎牌	Naiste medalid			
